418,3314,970,3418,472,3914,1302,4293,1680,3351,1763,3425,1700,850,2501,4337,2633,1100,2861,4321,2760,445,1852,1146,3365,2495,584,3359
0.276,-0.242,-0.154,0.054,0.206,-0.008,-0.201,-30.0,0.181,-0.066,-30.0,-30.0,0.258,-0.153,-0.134,-0.15,0.041,0.046,0.335,-0.055,-30.0,0.3,-0.021,-0.142,-0.095,-0.146,0.085,0.032
0.417,-0.152,-0.054,0.028,0.425,-0.08,-0.057,-30.0,0.008,-0.096,0.12,-0.059,0.068,-0.122,-0.067,-0.245,-0.079,0.209,-0.144,-0.2,0.2,0.5,0.146,-0.024,-0.115,0.012,-0.009,-0.087
0.267,-0.009,-0.035,0.148,0.289,0.048,-0.06,0.194,0.107,0.01,0.184,0.119,0.267,-0.112,-0.154,0.158,-0.019,-0.07,-0.156,0.18,-0.045,0.206,0.05,0.023,-0.117,-0.147,-0.08,0.167
0.127,-0.084,-0.007,-0.078,0.06,0.138,0.058,0.078,-0.07,-0.137,0.004,-0.1,0.148,-0.037,-0.029,0.115,0.107,-0.048,-0.036,0.13,0.088,0.019,0.055,-0.033,-0.293,-0.003,0.027,0.106
0.03,-0.05,-0.278,0.005,0.043,0.158,-0.105,-30.0,0.068,-0.108,0.04,0.038,0.034,-0.035,-0.02,-0.191,0.036,0.088,0.041,-0.025,0.118,-0.011,-0.044,0.06,-0.051,-0.055,0.021,0.089
0.473,-0.22,-0.23,0.164,1.212,0.288,-0.304,-0.051,-0.186,0.093,0.11,0.377,0.066,-0.04,-0.217,-0.147,0.036,0.122,0.013,-0.086,0.072,0.438,0.273,-0.165,-0.081,-0.162,-0.05,0.181
0.477,-0.271,-0.488,0.38,0.529,0.13,-0.157,0.24,0.074,-0.198,0.214,0.215,0.186,-0.463,0.079,0.255,0.83,0.423,0.16,0.356,-0.265,0.477,-0.12,-0.202,0.276,0.168,-0.159,-0.001
-0.045,-0.202,-0.345,0.177,-0.038,-0.025,-0.041,-0.013,-0.153,-0.131,-0.218,0.262,-0.075,-0.031,-0.33,0.216,-30.0,0.266,0.034,0.216,-0.014,-0.091,-0.257,-0.067,-0.219,0.031,0.244,-0.023
0.708,0.36,-0.253,0.185,0.318,-0.275,-0.199,-0.184,-0.105,0.242,0.408,-0.006,0.38,-0.057,0.19,-0.208,-0.024,0.287,0.393,-0.141,0.06,0.569,0.137,0.057,0.207,0.233,0.563,0.583
0.04,-0.009,-0.056,0.021,0.064,0.062,-0.04,-0.104,0.163,-0.083,0.346,-0.074,0.005,0.008,-0.093,-0.185,-0.005,-0.149,0.104,-0.091,0.135,-0.035,-0.062,-0.034,-0.177,0.207,0.06,0.07
0.106,-0.124,-0.182,0.071,0.152,-0.097,-0.05,0.026,-0.006,-0.099,0.131,-0.027,0.095,-0.079,0.067,0.036,0.032,0.022,0.015,0.077,0.065,0.096,-0.044,-0.032,-0.142,0.12,0.055,0.087
0.353,-0.229,-0.032,-0.034,0.416,-0.022,-0.166,-0.03,0.408,-0.147,0.02,-0.177,0.409,-0.211,0.012,0.029,-0.134,0.23,-0.091,0.04,-0.08,0.262,0.031,-0.127,-0.183,0.05,0.196,-0.037
0.25,-0.065,-0.053,0.114,0.275,0.123,0.015,0.009,-0.01,-0.035,0.022,0.215,0.021,-0.048,-0.016,0.069,0.04,-0.072,-0.127,0.039,0.042,0.215,0.034,0.034,-0.12,-0.003,-0.024,0.054
0.105,-0.097,-0.209,0.038,0.12,-0.008,0.126,-0.108,-0.084,0.004,0.07,-0.145,0.132,-0.095,-30.0,-0.183,0.132,0.148,-0.279,-0.161,0.134,0.071,0.145,-0.097,-0.139,0.047,0.042,0.074
